settlement,gender,age_group,p_active_emp,p_active_unemp,p_inactive_edu,p_inactive_homemaker,p_inactive_incomeNojob,p_inactive_other,p_not_stated
city,male,10-14,57,7,12361,16,1,261,2
city,male,15-19,1148,292,9747,33,8,905,6
city,male,20-24,3526,1996,5693,49,27,2032,11
city,male,25-29,11176,3554,2025,59,54,1037,10
city,male,30-34,15532,2543,898,70,97,1470,13
city,male,35-39,14729,1292,516,48,115,417,11
city,male,40-44,12561,669,293,39,206,187,7
city,male,45-49,11019,265,218,36,869,106,10
city,male,50-54,7482,151,77,29,2651,52,5
city,male,55-59,5030,67,51,29,3193,21,6
city,male,60-64,2271,27,14,34,3473,2,1
city,male,65+,1238,25,2,82,5996,1950,9
city,female,10-14,33,4,11813,140,1,129,0
city,female,15-19,253,135,9547,1637,4,634,3
city,female,20-24,710,1070,6796,5200,7,942,1
city,female,25-29,3136,2116,2488,10950,41,486,2
city,female,30-34,4146,1450,1390,13699,85,1052,6
city,female,35-39,4079,705,664,11496,116,389,0
city,female,40-44,2900,249,280,9402,167,757,4
city,female,45-49,2326,113,140,8490,356,385,3
city,female,50-54,1379,58,45,7727,759,82,2
city,female,55-59,664,14,16,6043,1347,31,2
city,female,60-64,333,3,3,4262,1310,11,2
city,female,65+,343,1,0,6516,2208,511,8
village,male,10-14,45,4,4009,17,1,214,1
village,male,15-19,930,126,2209,23,5,519,41
village,male,20-24,2036,941,791,17,17,851,278
village,male,25-29,4141,1160,267,20,12,388,495
village,male,30-34,5007,659,94,19,24,138,591
village,male,35-39,4361,176,44,11,31,33,497
village,male,40-44,3891,75,39,10,47,43,299
village,male,45-49,3106,32,17,12,123,15,182
village,male,50-54,2336,23,7,13,295,3,102
village,male,55-59,1926,15,2,11,393,22,66
village,male,60-64,1271,11,0,12,398,0,27
village,male,65+,1074,11,1,52,877,1418,21
village,female,10-14,16,5,3857,183,0,137,2
village,female,15-19,156,65,1839,1215,3,223,3
village,female,20-24,210,227,723,2700,4,260,15
village,female,25-29,604,304,226,4254,6,96,12
village,female,30-34,652,188,105,4620,8,90,15
village,female,35-39,568,91,47,3851,11,71,26
village,female,40-44,454,42,22,3365,16,70,10
village,female,45-49,384,20,5,2747,29,29,9
village,female,50-54,308,10,1,2572,59,16,5
village,female,55-59,280,1,1,2040,91,5,6
village,female,60-64,202,1,1,1672,102,2,3
village,female,65+,216,0,3,2815,337,460,4